date,store_id,SKU,sku_name,category,units_sold,price_per_unit_usd,revenue_usd,promotion_flag,unit_of_measure,Date,price_per_unit_usd_fluctuated,price_per_unit_usd_updated
21-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,86,2.41,207.26,0,lb,2024-10-21,1.82,1.96
22-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,106,2.41,255.46,0,lb,2024-10-22,1.82,1.96
23-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,102,2.41,245.82,0,lb,2024-10-23,2.21,1.96
24-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,101,2.41,243.41,0,lb,2024-10-24,2.21,2.5
25-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,94,2.41,226.54,0,lb,2024-10-25,2.21,2.5
26-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,108,2.41,260.28,0,lb,2024-10-26,2.25,2.5
27-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,97,2.41,233.77,0,lb,2024-10-27,2.25,2.5
28-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,65,2.41,156.65,0,lb,2024-10-28,2.25,2.17
29-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,101,2.41,243.41,0,lb,2024-10-29,2.39,2.17
30-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,75,2.41,180.75,0,lb,2024-10-30,2.39,2.17
31-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,103,2.41,248.23,0,lb,2024-10-31,2.39,2.17
11-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,84,2.41,202.44,0,lb,2024-11-11,2.24,1.78
11-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,77,2.41,185.57,0,lb,2024-11-12,2.24,1.78
13-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,85,2.41,204.85,0,lb,2024-11-13,2.24,1.78
14-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,76,2.41,183.16,0,lb,2024-11-14,2.06,1.78
15-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,68,2.41,163.88,0,lb,2024-11-15,2.06,2.64
16-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,92,2.41,221.72,0,lb,2024-11-16,2.06,2.64
17-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,153,2.41,368.73,0,lb,2024-11-17,2.06,2.64
18-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,88,2.41,212.08,0,lb,2024-11-18,2.35,1.67
19-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,83,2.41,200.03,0,lb,2024-11-19,2.35,1.67
20-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,81,2.41,195.21,0,lb,2024-11-20,2.35,1.67
21-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,90,2.41,216.9,0,lb,2024-11-21,2.35,1.79
22-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,90,2.41,216.9,0,lb,2024-11-22,2.43,1.79
23-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,98,2.41,236.18,0,lb,2024-11-23,2.43,1.79
24-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,123,2.41,296.43,0,lb,2024-11-24,2.43,1.79
25-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,89,2.41,214.49,0,lb,2024-11-25,2.43,1.54
26-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,130,2.12,275.7,1,lb,2024-11-26,2.11,1.54
27-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,114,2.41,274.74,0,lb,2024-11-27,2.11,1.54
28-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,108,2.41,260.28,0,lb,2024-11-28,2.11,2.48
29-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,126,2.41,303.66,0,lb,2024-11-29,2.33,2.48
30-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,138,2.41,332.58,0,lb,2024-11-30,2.33,2.48
12-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,68,2.41,163.88,0,lb,2024-12-11,2.33,2.48
12-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,102,2.41,245.82,0,lb,2024-12-12,2.33,2.69
13-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,80,2.41,192.8,0,lb,2024-12-13,1.82,2.69
14-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,103,2.41,248.23,0,lb,2024-12-14,1.82,2.69
15-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,115,2.41,277.15,0,lb,2024-12-15,1.82,2.17
16-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,99,2.41,238.59,0,lb,2024-12-16,2.08,2.17
17-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,106,2.41,255.46,0,lb,2024-12-17,2.08,2.17
18-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,73,2.41,175.93,0,lb,2024-12-18,2.08,2.17
19-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,106,2.41,255.46,0,lb,2024-12-19,2.08,2.75
20-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,87,2.41,209.67,0,lb,2024-12-20,2.08,2.75
21-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,127,2.41,306.07,0,lb,2024-12-21,2.08,2.75
22-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,136,2.41,327.76,0,lb,2024-12-22,2.08,2.41
23-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,74,2.41,178.34,0,lb,2024-12-23,1.88,2.41
24-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,73,2.41,175.93,0,lb,2024-12-24,1.88,2.41
25-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,90,2.41,216.9,0,lb,2024-12-25,1.88,2.45
26-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,84,2.41,202.44,0,lb,2024-12-26,1.88,2.45
27-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,105,2.41,253.05,0,lb,2024-12-27,1.86,2.45
28-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,133,2.41,320.53,0,lb,2024-12-28,1.86,1.53
29-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,160,2.41,385.6,0,lb,2024-12-29,1.86,1.53
30-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,93,2.41,224.13,0,lb,2024-12-30,1.86,1.53
31-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,90,2.41,216.9,0,lb,2024-12-31,2.35,1.53
01-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,97,2.41,233.77,0,lb,2025-01-01,2.35,1.88
01-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,98,2.41,236.18,0,lb,2025-01-02,2.35,1.88
01-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,110,2.12,233.29,1,lb,2025-01-03,2.34,1.88
01-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,84,2.41,202.44,0,lb,2025-01-04,2.34,1.88
01-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,69,2.41,166.29,0,lb,2025-01-05,2.34,2.12
01-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,151,2.41,363.91,0,lb,2025-01-06,2.34,2.12
01-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,132,2.12,279.95,1,lb,2025-01-07,2.18,2.12
01-08-2025,Giant_Store_001,1000,Apple_Gala,Fruit,109,2.41,262.69,0,lb,2025-01-08,2.18,2.12
01-09-2025,Giant_Store_001,1000,Apple_Gala,Fruit,114,2.41,274.74,0,lb,2025-01-09,2.18,1.74
01-10-2025,Giant_Store_001,1000,Apple_Gala,Fruit,73,2.41,175.93,0,lb,2025-01-10,1.85,1.74
13-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,64,2.41,154.24,0,lb,2025-01-13,1.85,1.74
14-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,72,2.41,173.52,0,lb,2025-01-14,1.85,1.74
15-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,113,2.41,272.33,0,lb,2025-01-15,1.85,1.53
16-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,105,2.41,253.05,0,lb,2025-01-16,2.14,1.53
17-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,83,2.41,200.03,0,lb,2025-01-17,2.14,1.53
18-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,76,2.41,183.16,0,lb,2025-01-18,2.14,1.53
19-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,123,2.41,296.43,0,lb,2025-01-19,2.14,2.65
20-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,78,2.41,187.98,0,lb,2025-01-20,2.27,2.65
21-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,127,2.12,269.34,1,lb,2025-01-21,2.27,2.65
22-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,81,2.41,195.21,0,lb,2025-01-22,2.27,1.9
23-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,88,2.41,212.08,0,lb,2025-01-23,2.27,1.9
24-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,88,2.12,186.63,1,lb,2025-01-24,2.29,1.9
25-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,154,2.41,371.14,0,lb,2025-01-25,2.29,1.9
26-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,116,2.41,279.56,0,lb,2025-01-26,2.29,2.5
27-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,93,2.41,224.13,0,lb,2025-01-27,2.29,2.5
28-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,130,2.12,275.7,1,lb,2025-01-28,2.25,2.5
29-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,60,2.41,144.6,0,lb,2025-01-29,2.25,2.5
30-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,110,2.41,265.1,0,lb,2025-01-30,2.25,2.58
31-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,88,2.41,212.08,0,lb,2025-01-31,2.25,2.58
02-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,112,2.41,269.92,0,lb,2025-02-01,1.89,2.58
02-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,122,2.41,294.02,0,lb,2025-02-02,1.89,2.41
02-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,136,2.41,327.76,0,lb,2025-02-03,1.89,2.41
02-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,91,2.41,219.31,0,lb,2025-02-04,1.89,2.41
02-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,119,2.41,286.79,0,lb,2025-02-05,1.93,1.69
02-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,102,2.41,245.82,0,lb,2025-02-06,1.93,1.69
02-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,121,2.41,291.61,0,lb,2025-02-07,1.93,1.69
02-08-2025,Giant_Store_001,1000,Apple_Gala,Fruit,174,2.12,369.02,1,lb,2025-02-08,1.93,1.7
02-09-2025,Giant_Store_001,1000,Apple_Gala,Fruit,112,2.12,237.53,1,lb,2025-02-09,2.23,1.7
02-10-2025,Giant_Store_001,1000,Apple_Gala,Fruit,72,2.41,173.52,0,lb,2025-02-10,2.23,1.7
13-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,79,2.41,190.39,0,lb,2025-02-13,2.23,2.75
14-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,86,2.41,207.26,0,lb,2025-02-14,1.94,2.75
15-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,102,2.41,245.82,0,lb,2025-02-15,1.94,2.75
16-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,136,2.41,327.76,0,lb,2025-02-16,1.94,2.75
17-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,85,2.41,204.85,0,lb,2025-02-17,1.94,2.66
18-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,134,2.12,284.19,1,lb,2025-02-18,2.39,2.66
19-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,143,2.41,344.63,0,lb,2025-02-19,2.39,2.66
20-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,92,2.41,221.72,0,lb,2025-02-20,2.39,1.56
21-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,96,2.41,231.36,0,lb,2025-02-21,2.16,1.56
22-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,132,2.41,318.12,0,lb,2025-02-22,2.16,1.56
23-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,92,2.41,221.72,0,lb,2025-02-23,2.16,1.56
24-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,94,2.41,226.54,0,lb,2025-02-24,2.02,2.55
25-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,109,2.41,262.69,0,lb,2025-02-25,2.02,2.55
26-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,98,2.41,236.18,0,lb,2025-02-26,2.02,2.55
27-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,76,2.41,183.16,0,lb,2025-02-27,1.81,2.55
28-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,79,2.41,190.39,0,lb,2025-02-28,1.81,2.23
03-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,68,2.41,163.88,0,lb,2025-03-01,1.81,2.23
03-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,69,2.41,166.29,0,lb,2025-03-02,1.81,2.23
03-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,72,2.41,173.52,0,lb,2025-03-03,2.41,2.23
03-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,71,2.41,171.11,0,lb,2025-03-04,2.41,1.5
03-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,83,2.41,200.03,0,lb,2025-03-05,2.41,1.5
03-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,122,2.41,294.02,0,lb,2025-03-06,2.41,1.5
03-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,90,2.41,216.9,0,lb,2025-03-07,2.0,1.5
03-08-2025,Giant_Store_001,1000,Apple_Gala,Fruit,106,2.41,255.46,0,lb,2025-03-08,2.0,2.23
03-09-2025,Giant_Store_001,1000,Apple_Gala,Fruit,118,2.41,284.38,0,lb,2025-03-09,2.0,2.23
03-10-2025,Giant_Store_001,1000,Apple_Gala,Fruit,81,2.41,195.21,0,lb,2025-03-10,2.0,2.23
13-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,103,2.41,248.23,0,lb,2025-03-13,2.0,2.33
14-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,72,2.41,173.52,0,lb,2025-03-14,2.0,2.33
15-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,126,2.41,303.66,0,lb,2025-03-15,2.0,2.33
16-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,67,2.41,161.47,0,lb,2025-03-16,1.91,2.33
17-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,81,2.41,195.21,0,lb,2025-03-17,1.91,1.52
18-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,116,2.12,246.01,1,lb,2025-03-18,1.91,1.52
19-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,84,2.41,202.44,0,lb,2025-03-19,1.91,1.52
20-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,107,2.41,257.87,0,lb,2025-03-20,2.43,2.19
21-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,69,2.41,166.29,0,lb,2025-03-21,2.43,2.19
22-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,44,2.41,106.04,0,lb,2025-03-22,2.43,2.19
23-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,136,2.41,327.76,0,lb,2025-03-23,2.43,2.19
24-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,126,2.41,303.66,0,lb,2025-03-24,2.27,2.41
25-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,85,2.41,204.85,0,lb,2025-03-25,2.27,2.41
26-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,95,2.41,228.95,0,lb,2025-03-26,2.27,2.41
27-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,96,2.41,231.36,0,lb,2025-03-27,1.84,2.41
28-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,118,2.41,284.38,0,lb,2025-03-28,1.84,2.09
29-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,131,2.41,315.71,0,lb,2025-03-29,1.84,2.09
30-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,123,2.41,296.43,0,lb,2025-03-30,2.07,2.09
31-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,67,2.41,161.47,0,lb,2025-03-31,2.07,2.09
04-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,113,2.41,272.33,0,lb,2025-04-01,2.07,1.7
04-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,58,2.41,139.78,0,lb,2025-04-02,2.15,1.7
04-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,111,2.41,267.51,0,lb,2025-04-03,2.15,1.7
04-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,95,2.41,228.95,0,lb,2025-04-04,2.15,2.72
04-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,148,2.41,356.68,0,lb,2025-04-05,1.94,2.72
04-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,116,2.41,279.56,0,lb,2025-04-06,1.94,2.72
04-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,115,2.41,277.15,0,lb,2025-04-07,1.94,2.12
04-08-2025,Giant_Store_001,1000,Apple_Gala,Fruit,94,2.41,226.54,0,lb,2025-04-08,2.42,2.12
04-09-2025,Giant_Store_001,1000,Apple_Gala,Fruit,99,2.41,238.59,0,lb,2025-04-09,2.42,2.12
04-10-2025,Giant_Store_001,1000,Apple_Gala,Fruit,136,2.41,327.76,0,lb,2025-04-10,2.42,2.12
13-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,128,2.41,308.48,0,lb,2025-04-13,2.36,2.55
14-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,82,2.41,197.62,0,lb,2025-04-14,2.36,2.55
15-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,50,2.41,120.5,0,lb,2025-04-15,2.36,2.55
16-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,113,2.41,272.33,0,lb,2025-04-16,2.36,1.53
17-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,86,2.41,207.26,0,lb,2025-04-17,1.83,1.53
18-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,86,2.41,207.26,0,lb,2025-04-18,1.83,1.53
19-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,111,2.41,267.51,0,lb,2025-04-19,1.83,1.53
20-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,131,2.41,315.71,0,lb,2025-04-20,2.22,2.06
21-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,99,2.12,209.96,1,lb,2025-04-21,2.22,2.06
22-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,79,2.41,190.39,0,lb,2025-04-22,2.22,2.06
23-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,75,2.41,180.75,0,lb,2025-04-23,2.22,1.83
24-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,114,2.41,274.74,0,lb,2025-04-24,2.4,1.83
25-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,79,2.41,190.39,0,lb,2025-04-25,2.4,1.83
26-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,110,2.41,265.1,0,lb,2025-04-26,2.4,1.83
27-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,101,2.41,243.41,0,lb,2025-04-27,2.4,2.22
28-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,98,2.41,236.18,0,lb,2025-04-28,2.4,2.22
29-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,73,2.41,175.93,0,lb,2025-04-29,2.4,2.22
30-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,77,2.41,185.57,0,lb,2025-04-30,2.4,2.22
05-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,81,2.41,195.21,0,lb,2025-05-01,2.35,2.04
05-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,120,2.41,289.2,0,lb,2025-05-02,2.35,2.04
05-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,73,2.41,175.93,0,lb,2025-05-03,2.35,2.04
05-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,109,2.41,262.69,0,lb,2025-05-04,2.35,2.66
05-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,62,2.41,149.42,0,lb,2025-05-05,2.25,2.66
05-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,107,2.41,257.87,0,lb,2025-05-06,2.25,2.66
05-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,132,2.41,318.12,0,lb,2025-05-07,2.25,2.66
05-08-2025,Giant_Store_001,1000,Apple_Gala,Fruit,133,2.41,320.53,0,lb,2025-05-08,1.95,1.56
05-09-2025,Giant_Store_001,1000,Apple_Gala,Fruit,89,2.41,214.49,0,lb,2025-05-09,1.95,1.56
05-10-2025,Giant_Store_001,1000,Apple_Gala,Fruit,135,2.41,325.35,0,lb,2025-05-10,1.95,1.56
13-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,83,2.41,200.03,0,lb,2025-05-13,2.09,2.17
14-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,93,2.41,224.13,0,lb,2025-05-14,2.09,2.17
15-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,104,2.41,250.64,0,lb,2025-05-15,2.09,2.17
16-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,68,2.41,163.88,0,lb,2025-05-16,1.81,2.17
17-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,100,2.41,241.0,0,lb,2025-05-17,1.81,2.04
18-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,95,2.41,228.95,0,lb,2025-05-18,1.81,2.04
19-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,80,2.41,192.8,0,lb,2025-05-19,1.81,2.04
20-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,90,2.41,216.9,0,lb,2025-05-20,2.02,2.37
21-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,84,2.41,202.44,0,lb,2025-05-21,2.02,2.37
22-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,106,2.41,255.46,0,lb,2025-05-22,2.02,2.37
23-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,81,2.41,195.21,0,lb,2025-05-23,2.02,2.41
24-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,122,2.41,294.02,0,lb,2025-05-24,2.2,2.41
25-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,141,2.41,339.81,0,lb,2025-05-25,2.2,2.41
26-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,100,2.41,241.0,0,lb,2025-05-26,2.2,2.61
27-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,110,2.41,265.1,0,lb,2025-05-27,1.81,2.61
28-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,94,2.41,226.54,0,lb,2025-05-28,1.81,2.61
29-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,91,2.41,219.31,0,lb,2025-05-29,1.81,2.75
30-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,76,2.41,183.16,0,lb,2025-05-30,1.81,2.75
31-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,116,2.41,279.56,0,lb,2025-05-31,1.84,2.75
06-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,61,2.41,147.01,0,lb,2025-06-01,1.84,1.52
06-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,107,2.12,226.93,1,lb,2025-06-02,1.84,1.52
06-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,112,2.41,269.92,0,lb,2025-06-03,1.84,1.52
