date,store_id,sku_id,sku_name,category,units_sold,price_per_unit_usd,revenue_usd,promotion_flag,unit_of_measure
01-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,98,2.41,236.18,0,lb
02-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,122,2.41,294.02,0,lb
03-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,69,2.41,166.29,0,lb
04-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,58,2.41,139.78,0,lb
05-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,120,2.41,289.2,0,lb
06-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,107,2.12,226.93,1,lb
07-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,65,2.41,156.65,0,lb
08-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,106,2.41,255.46,0,lb
09-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,117,2.41,281.97,0,lb
10-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,100,2.41,241,0,lb
11-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,118,2.41,284.38,0,lb
12-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,112,2.12,237.53,1,lb
13-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,79,2.41,190.39,0,lb
14-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,86,2.41,207.26,0,lb
15-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,102,2.41,245.82,0,lb
16-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,136,2.41,327.76,0,lb
17-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,85,2.41,204.85,0,lb
18-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,134,2.12,284.19,1,lb
19-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,143,2.41,344.63,0,lb
20-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,92,2.41,221.72,0,lb
21-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,96,2.41,231.36,0,lb
22-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,132,2.41,318.12,0,lb
23-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,92,2.41,221.72,0,lb
24-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,94,2.41,226.54,0,lb
25-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,109,2.41,262.69,0,lb
26-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,98,2.41,236.18,0,lb
27-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,76,2.41,183.16,0,lb
28-02-2025,Giant_Store_001,1000,Apple_Gala,Fruit,79,2.41,190.39,0,lb
01-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,110,2.12,233.29,1,lb
02-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,136,2.41,327.76,0,lb
03-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,72,2.41,173.52,0,lb
04-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,111,2.41,267.51,0,lb
05-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,73,2.41,175.93,0,lb
06-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,112,2.41,269.92,0,lb
07-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,132,2.12,279.95,1,lb
08-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,112,2.41,269.92,0,lb
09-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,152,2.41,366.32,0,lb
10-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,118,2.41,284.38,0,lb
11-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,99,2.41,238.59,0,lb
12-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,65,2.41,156.65,0,lb
13-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,103,2.41,248.23,0,lb
14-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,72,2.41,173.52,0,lb
15-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,126,2.41,303.66,0,lb
16-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,67,2.41,161.47,0,lb
17-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,81,2.41,195.21,0,lb
18-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,116,2.12,246.01,1,lb
19-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,84,2.41,202.44,0,lb
20-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,107,2.41,257.87,0,lb
21-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,69,2.41,166.29,0,lb
22-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,44,2.41,106.04,0,lb
23-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,136,2.41,327.76,0,lb
24-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,126,2.41,303.66,0,lb
25-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,85,2.41,204.85,0,lb
26-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,95,2.41,228.95,0,lb
27-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,96,2.41,231.36,0,lb
28-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,118,2.41,284.38,0,lb
29-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,131,2.41,315.71,0,lb
30-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,123,2.41,296.43,0,lb
31-03-2025,Giant_Store_001,1000,Apple_Gala,Fruit,67,2.41,161.47,0,lb
01-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,84,2.41,202.44,0,lb
02-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,91,2.41,219.31,0,lb
03-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,71,2.41,171.11,0,lb
04-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,95,2.41,228.95,0,lb
05-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,109,2.41,262.69,0,lb
06-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,110,2.41,265.1,0,lb
07-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,121,2.41,291.61,0,lb
08-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,78,2.41,187.98,0,lb
09-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,71,2.41,171.11,0,lb
10-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,114,2.41,274.74,0,lb
11-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,59,2.41,142.19,0,lb
12-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,125,2.41,301.25,0,lb
13-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,128,2.41,308.48,0,lb
14-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,82,2.41,197.62,0,lb
15-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,50,2.41,120.5,0,lb
16-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,113,2.41,272.33,0,lb
17-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,86,2.41,207.26,0,lb
18-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,86,2.41,207.26,0,lb
19-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,111,2.41,267.51,0,lb
20-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,131,2.41,315.71,0,lb
21-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,99,2.12,209.96,1,lb
22-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,79,2.41,190.39,0,lb
23-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,75,2.41,180.75,0,lb
24-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,114,2.41,274.74,0,lb
25-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,79,2.41,190.39,0,lb
26-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,110,2.41,265.1,0,lb
27-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,101,2.41,243.41,0,lb
28-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,98,2.41,236.18,0,lb
29-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,73,2.41,175.93,0,lb
30-04-2025,Giant_Store_001,1000,Apple_Gala,Fruit,77,2.41,185.57,0,lb
01-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,69,2.41,166.29,0,lb
02-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,119,2.41,286.79,0,lb
03-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,83,2.41,200.03,0,lb
04-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,148,2.41,356.68,0,lb
05-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,62,2.41,149.42,0,lb
06-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,93,2.41,224.13,0,lb
07-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,107,2.41,257.87,0,lb
08-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,89,2.41,214.49,0,lb
09-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,116,2.41,279.56,0,lb
10-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,101,2.41,243.41,0,lb
11-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,143,2.41,344.63,0,lb
12-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,94,2.41,226.54,0,lb
13-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,83,2.41,200.03,0,lb
14-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,93,2.41,224.13,0,lb
15-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,104,2.41,250.64,0,lb
16-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,68,2.41,163.88,0,lb
17-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,100,2.41,241,0,lb
18-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,95,2.41,228.95,0,lb
19-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,80,2.41,192.8,0,lb
20-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,90,2.41,216.9,0,lb
21-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,84,2.41,202.44,0,lb
22-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,106,2.41,255.46,0,lb
23-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,81,2.41,195.21,0,lb
24-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,122,2.41,294.02,0,lb
25-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,141,2.41,339.81,0,lb
26-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,100,2.41,241,0,lb
27-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,110,2.41,265.1,0,lb
28-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,94,2.41,226.54,0,lb
29-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,91,2.41,219.31,0,lb
30-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,76,2.41,183.16,0,lb
31-05-2025,Giant_Store_001,1000,Apple_Gala,Fruit,116,2.41,279.56,0,lb
01-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,151,2.41,363.91,0,lb
02-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,102,2.41,245.82,0,lb
03-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,122,2.41,294.02,0,lb
04-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,116,2.41,279.56,0,lb
05-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,107,2.41,257.87,0,lb
06-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,95,2.41,228.95,0,lb
07-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,87,2.41,209.67,0,lb
08-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,152,2.41,366.32,0,lb
09-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,71,2.41,171.11,0,lb
10-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,132,2.41,318.12,0,lb
11-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,90,2.41,216.9,0,lb
12-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,136,2.41,327.76,0,lb
13-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,106,2.41,255.46,0,lb
14-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,139,2.41,334.99,0,lb
15-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,100,2.41,241,0,lb
16-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,108,2.12,229.05,1,lb
17-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,64,2.41,154.24,0,lb
18-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,114,2.41,274.74,0,lb
19-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,81,2.41,195.21,0,lb
20-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,82,2.41,197.62,0,lb
21-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,133,2.41,320.53,0,lb
22-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,177,2.41,426.57,0,lb
23-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,108,2.41,260.28,0,lb
24-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,90,2.41,216.9,0,lb
25-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,103,2.41,248.23,0,lb
26-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,105,2.41,253.05,0,lb
27-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,99,2.41,238.59,0,lb
28-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,133,2.41,320.53,0,lb
29-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,151,2.41,363.91,0,lb
30-06-2025,Giant_Store_001,1000,Apple_Gala,Fruit,113,2.41,272.33,0,lb
01-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,132,2.12,279.95,1,lb
02-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,121,2.41,291.61,0,lb
03-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,90,2.41,216.9,0,lb
04-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,115,2.41,277.15,0,lb
05-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,132,2.41,318.12,0,lb
06-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,110,2.41,265.1,0,lb
07-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,63,2.41,151.83,0,lb
08-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,97,2.41,233.77,0,lb
09-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,134,2.41,322.94,0,lb
10-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,115,2.41,277.15,0,lb
11-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,66,2.41,159.06,0,lb
12-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,155,2.41,373.55,0,lb
13-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,97,2.41,233.77,0,lb
14-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,115,2.41,277.15,0,lb
15-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,93,2.41,224.13,0,lb
16-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,80,2.41,192.8,0,lb
17-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,107,2.41,257.87,0,lb
18-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,121,2.41,291.61,0,lb
19-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,176,2.12,373.26,1,lb
20-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,141,2.41,339.81,0,lb
21-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,110,2.41,265.1,0,lb
22-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,138,2.41,332.58,0,lb
23-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,87,2.41,209.67,0,lb
24-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,116,2.41,279.56,0,lb
25-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,123,2.41,296.43,0,lb
26-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,148,2.41,356.68,0,lb
27-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,126,2.41,303.66,0,lb
28-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,113,2.41,272.33,0,lb
29-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,143,2.41,344.63,0,lb
30-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,68,2.41,163.88,0,lb
31-07-2025,Giant_Store_001,1000,Apple_Gala,Fruit,93,2.41,224.13,0,lb
01-08-2025,Giant_Store_001,1000,Apple_Gala,Fruit,109,2.41,262.69,0,lb
02-08-2025,Giant_Store_001,1000,Apple_Gala,Fruit,174,2.12,369.02,1,lb
03-08-2025,Giant_Store_001,1000,Apple_Gala,Fruit,106,2.41,255.46,0,lb
04-08-2025,Giant_Store_001,1000,Apple_Gala,Fruit,94,2.41,226.54,0,lb
