date,sku_id,sku_name,category,unit_of_measure,units_sold,unit_price_usd,revenue_usd,expiry_days,promo_flag
2025-01-08,2000,WholeWheat_Bread,Bakery,each,50,3.02,151.0,4,True
2025-01-09,2000,WholeWheat_Bread,Bakery,each,133,3.02,401.66,4,False
2025-01-10,2000,WholeWheat_Bread,Bakery,each,139,3.02,419.78,4,False
2025-01-11,2000,WholeWheat_Bread,Bakery,each,209,3.02,631.18,4,False
2025-01-12,2000,WholeWheat_Bread,Bakery,each,121,3.02,365.42,4,False
2025-01-13,2000,WholeWheat_Bread,Bakery,each,175,3.02,528.5,4,False
2025-01-14,2000,WholeWheat_Bread,Bakery,each,200,3.02,604.0,4,False
2025-01-15,2000,WholeWheat_Bread,Bakery,each,157,3.16,496.12,4,False
2025-01-16,2000,WholeWheat_Bread,Bakery,each,146,3.16,461.36,4,False
2025-01-17,2000,WholeWheat_Bread,Bakery,each,160,3.16,505.6,4,False
2025-01-18,2000,WholeWheat_Bread,Bakery,each,150,3.16,474.0,4,False
2025-01-19,2000,WholeWheat_Bread,Bakery,each,160,3.16,505.6,4,False
2025-01-20,2000,WholeWheat_Bread,Bakery,each,183,3.16,578.28,4,False
2025-01-21,2000,WholeWheat_Bread,Bakery,each,143,3.16,451.88,4,False
2025-01-22,2000,WholeWheat_Bread,Bakery,each,193,3.13,604.09,4,False
2025-01-23,2000,WholeWheat_Bread,Bakery,each,99,3.13,309.87,4,False
2025-01-24,2000,WholeWheat_Bread,Bakery,each,129,3.13,403.77,4,False
2025-01-25,2000,WholeWheat_Bread,Bakery,each,203,3.13,635.39,4,False
2025-01-26,2000,WholeWheat_Bread,Bakery,each,171,3.13,535.23,4,False
2025-01-27,2000,WholeWheat_Bread,Bakery,each,159,3.13,497.67,4,False
2025-01-28,2000,WholeWheat_Bread,Bakery,each,134,3.13,419.42,4,False
2025-01-29,2000,WholeWheat_Bread,Bakery,each,175,3.04,532.0,4,False
2025-01-30,2000,WholeWheat_Bread,Bakery,each,144,2.64,380.16,4,True
2025-01-31,2000,WholeWheat_Bread,Bakery,each,171,2.42,413.82,4,True
2025-02-01,2000,WholeWheat_Bread,Bakery,each,163,2.42,394.46,4,False
2025-02-02,2000,WholeWheat_Bread,Bakery,each,106,2.42,256.52,4,False
2025-02-03,2000,WholeWheat_Bread,Bakery,each,147,2.42,355.74,4,False
2025-02-04,2000,WholeWheat_Bread,Bakery,each,192,2.42,464.64,4,False
2025-02-05,2000,WholeWheat_Bread,Bakery,each,181,3.26,590.06,4,False
2025-02-06,2000,WholeWheat_Bread,Bakery,each,143,3.26,466.18,4,False
2025-02-07,2000,WholeWheat_Bread,Bakery,each,124,3.26,404.24,4,False
2025-02-08,2000,WholeWheat_Bread,Bakery,each,207,3.26,674.82,4,False
2025-02-09,2000,WholeWheat_Bread,Bakery,each,131,3.26,427.06,4,False
2025-02-10,2000,WholeWheat_Bread,Bakery,each,135,3.26,440.1,4,False
2025-02-11,2000,WholeWheat_Bread,Bakery,each,204,3.26,665.04,4,False
2025-02-12,2000,WholeWheat_Bread,Bakery,each,141,3.01,424.41,4,False
2025-02-13,2000,WholeWheat_Bread,Bakery,each,179,2.84,508.36,4,True
2025-02-14,2000,WholeWheat_Bread,Bakery,each,120,2.84,340.8,4,False
2025-02-15,2000,WholeWheat_Bread,Bakery,each,145,2.56,371.2,4,True
2025-02-16,2000,WholeWheat_Bread,Bakery,each,145,2.56,371.2,4,False
2025-02-17,2000,WholeWheat_Bread,Bakery,each,94,2.56,240.64,4,False
2025-02-18,2000,WholeWheat_Bread,Bakery,each,172,2.56,440.32,4,False
2025-02-19,2000,WholeWheat_Bread,Bakery,each,104,2.82,293.28,4,True
2025-02-20,2000,WholeWheat_Bread,Bakery,each,122,2.82,344.04,4,False
2025-02-21,2000,WholeWheat_Bread,Bakery,each,192,2.82,541.44,4,False
2025-02-22,2000,WholeWheat_Bread,Bakery,each,102,2.82,287.64,4,False
2025-02-23,2000,WholeWheat_Bread,Bakery,each,172,2.82,485.04,4,False
2025-02-24,2000,WholeWheat_Bread,Bakery,each,114,2.82,321.48,4,False
2025-02-25,2000,WholeWheat_Bread,Bakery,each,131,2.82,369.42,4,False
2025-02-26,2000,WholeWheat_Bread,Bakery,each,212,3.11,659.32,4,False
2025-02-27,2000,WholeWheat_Bread,Bakery,each,122,3.11,379.42,4,False
2025-02-28,2000,WholeWheat_Bread,Bakery,each,54,3.11,167.94,4,False
2025-03-01,2000,WholeWheat_Bread,Bakery,each,134,3.11,416.74,4,False
2025-03-02,2000,WholeWheat_Bread,Bakery,each,137,3.11,426.07,4,False
2025-03-03,2000,WholeWheat_Bread,Bakery,each,168,3.11,522.48,4,False
2025-03-04,2000,WholeWheat_Bread,Bakery,each,181,3.11,562.91,4,False
2025-03-05,2000,WholeWheat_Bread,Bakery,each,181,3.07,555.67,4,False
2025-03-06,2000,WholeWheat_Bread,Bakery,each,130,3.07,399.1,4,False
2025-03-07,2000,WholeWheat_Bread,Bakery,each,150,2.79,418.5,4,True
2025-03-08,2000,WholeWheat_Bread,Bakery,each,204,2.79,569.16,4,False
2025-03-09,2000,WholeWheat_Bread,Bakery,each,123,2.79,343.17,4,False
2025-03-10,2000,WholeWheat_Bread,Bakery,each,87,2.79,242.73,4,False
2025-03-11,2000,WholeWheat_Bread,Bakery,each,220,2.79,613.8,4,False
2025-03-12,2000,WholeWheat_Bread,Bakery,each,121,2.73,330.33,4,True
2025-03-13,2000,WholeWheat_Bread,Bakery,each,269,2.73,734.37,4,False
2025-03-14,2000,WholeWheat_Bread,Bakery,each,143,2.73,390.39,4,False
2025-03-15,2000,WholeWheat_Bread,Bakery,each,93,2.43,225.99,4,True
2025-03-16,2000,WholeWheat_Bread,Bakery,each,166,2.43,403.38,4,False
2025-03-17,2000,WholeWheat_Bread,Bakery,each,98,2.43,238.14,4,False
2025-03-18,2000,WholeWheat_Bread,Bakery,each,164,2.27,372.28,4,True
2025-03-19,2000,WholeWheat_Bread,Bakery,each,107,3.15,337.05,4,False
2025-03-20,2000,WholeWheat_Bread,Bakery,each,165,3.15,519.75,4,False
2025-03-21,2000,WholeWheat_Bread,Bakery,each,183,2.84,519.72,4,True
2025-03-22,2000,WholeWheat_Bread,Bakery,each,99,2.84,281.16,4,False
2025-03-23,2000,WholeWheat_Bread,Bakery,each,209,2.84,593.56,4,False
2025-03-24,2000,WholeWheat_Bread,Bakery,each,154,2.84,437.36,4,False
2025-03-25,2000,WholeWheat_Bread,Bakery,each,183,2.49,455.67,4,True
2025-03-26,2000,WholeWheat_Bread,Bakery,each,173,3.29,569.17,4,False
2025-03-27,2000,WholeWheat_Bread,Bakery,each,157,3.29,516.53,4,False
2025-03-28,2000,WholeWheat_Bread,Bakery,each,101,3.29,332.29,4,False
2025-03-29,2000,WholeWheat_Bread,Bakery,each,151,3.29,496.79,4,False
2025-03-30,2000,WholeWheat_Bread,Bakery,each,128,3.29,421.12,4,False
2025-03-31,2000,WholeWheat_Bread,Bakery,each,93,3.29,305.97,4,False
2025-04-01,2000,WholeWheat_Bread,Bakery,each,138,3.29,454.02,4,False
2025-04-02,2000,WholeWheat_Bread,Bakery,each,153,2.95,451.35,4,True
2025-04-03,2000,WholeWheat_Bread,Bakery,each,138,2.95,407.1,4,False
2025-04-04,2000,WholeWheat_Bread,Bakery,each,119,2.95,351.05,4,False
2025-04-05,2000,WholeWheat_Bread,Bakery,each,136,2.55,346.8,4,True
2025-04-06,2000,WholeWheat_Bread,Bakery,each,124,2.55,316.2,4,False
2025-04-07,2000,WholeWheat_Bread,Bakery,each,139,2.55,354.45,4,False
2025-04-08,2000,WholeWheat_Bread,Bakery,each,93,2.55,237.15,4,False
2025-04-09,2000,WholeWheat_Bread,Bakery,each,104,3.27,340.08,4,False
2025-04-10,2000,WholeWheat_Bread,Bakery,each,127,2.84,360.68,4,True
2025-04-11,2000,WholeWheat_Bread,Bakery,each,128,2.84,363.52,4,False
2025-04-12,2000,WholeWheat_Bread,Bakery,each,133,2.84,377.72,4,False
2025-04-13,2000,WholeWheat_Bread,Bakery,each,172,2.84,488.48,4,False
2025-04-14,2000,WholeWheat_Bread,Bakery,each,190,2.84,539.6,4,False
2025-04-15,2000,WholeWheat_Bread,Bakery,each,190,2.84,539.6,4,False
2025-04-16,2000,WholeWheat_Bread,Bakery,each,99,2.64,261.36,4,True
2025-04-17,2000,WholeWheat_Bread,Bakery,each,71,2.64,187.44,4,False
2025-04-18,2000,WholeWheat_Bread,Bakery,each,134,2.64,353.76,4,False
2025-04-19,2000,WholeWheat_Bread,Bakery,each,168,2.64,443.52,4,False
2025-04-20,2000,WholeWheat_Bread,Bakery,each,162,2.64,427.68,4,False
2025-04-21,2000,WholeWheat_Bread,Bakery,each,196,2.64,517.44,4,False
2025-04-22,2000,WholeWheat_Bread,Bakery,each,125,2.64,330.0,4,False
2025-04-23,2000,WholeWheat_Bread,Bakery,each,78,3.3,257.4,4,False
2025-04-24,2000,WholeWheat_Bread,Bakery,each,215,3.3,709.5,4,False
2025-04-25,2000,WholeWheat_Bread,Bakery,each,153,3.3,504.9,4,False
2025-04-26,2000,WholeWheat_Bread,Bakery,each,216,3.3,712.8,4,False
2025-04-27,2000,WholeWheat_Bread,Bakery,each,157,3.3,518.1,4,False
2025-04-28,2000,WholeWheat_Bread,Bakery,each,193,3.3,636.9,4,False
2025-04-29,2000,WholeWheat_Bread,Bakery,each,105,3.13,328.65,4,True
2025-04-30,2000,WholeWheat_Bread,Bakery,each,202,3.18,642.36,4,False
2025-05-01,2000,WholeWheat_Bread,Bakery,each,182,3.18,578.76,4,False
2025-05-02,2000,WholeWheat_Bread,Bakery,each,71,3.18,225.78,4,False
2025-05-03,2000,WholeWheat_Bread,Bakery,each,159,3.18,505.62,4,False
2025-05-04,2000,WholeWheat_Bread,Bakery,each,113,3.18,359.34,4,False
2025-05-05,2000,WholeWheat_Bread,Bakery,each,88,3.18,279.84,4,False
2025-05-06,2000,WholeWheat_Bread,Bakery,each,170,3.18,540.6,4,False
2025-05-07,2000,WholeWheat_Bread,Bakery,each,93,2.75,255.75,4,True
2025-05-08,2000,WholeWheat_Bread,Bakery,each,69,2.53,174.57,4,True
2025-05-09,2000,WholeWheat_Bread,Bakery,each,228,2.53,576.84,4,False
2025-05-10,2000,WholeWheat_Bread,Bakery,each,148,2.53,374.44,4,False
2025-05-11,2000,WholeWheat_Bread,Bakery,each,167,2.53,422.51,4,False
2025-05-12,2000,WholeWheat_Bread,Bakery,each,164,2.53,414.92,4,False
2025-05-13,2000,WholeWheat_Bread,Bakery,each,120,2.53,303.6,4,False
2025-05-14,2000,WholeWheat_Bread,Bakery,each,147,2.92,429.24,4,False
2025-05-15,2000,WholeWheat_Bread,Bakery,each,152,2.92,443.84,4,False
2025-05-16,2000,WholeWheat_Bread,Bakery,each,206,2.92,601.52,4,False
2025-05-17,2000,WholeWheat_Bread,Bakery,each,161,2.92,470.12,4,False
2025-05-18,2000,WholeWheat_Bread,Bakery,each,205,2.71,555.55,4,True
2025-05-19,2000,WholeWheat_Bread,Bakery,each,205,2.71,555.55,4,False
2025-05-20,2000,WholeWheat_Bread,Bakery,each,152,2.71,411.92,4,False
2025-05-21,2000,WholeWheat_Bread,Bakery,each,138,3.03,418.14,4,False
2025-05-22,2000,WholeWheat_Bread,Bakery,each,125,3.03,378.75,4,False
2025-05-23,2000,WholeWheat_Bread,Bakery,each,109,3.03,330.27,4,False
2025-05-24,2000,WholeWheat_Bread,Bakery,each,185,3.03,560.55,4,False
2025-05-25,2000,WholeWheat_Bread,Bakery,each,57,3.03,172.71,4,False
2025-05-26,2000,WholeWheat_Bread,Bakery,each,146,3.03,442.38,4,False
2025-05-27,2000,WholeWheat_Bread,Bakery,each,182,3.03,551.46,4,False
2025-05-28,2000,WholeWheat_Bread,Bakery,each,161,2.97,478.17,4,False
2025-05-29,2000,WholeWheat_Bread,Bakery,each,172,2.97,510.84,4,False
2025-05-30,2000,WholeWheat_Bread,Bakery,each,124,2.55,316.2,4,True
2025-05-31,2000,WholeWheat_Bread,Bakery,each,174,2.55,443.7,4,False
2025-06-01,2000,WholeWheat_Bread,Bakery,each,214,2.55,545.7,4,False
2025-06-02,2000,WholeWheat_Bread,Bakery,each,201,2.55,512.55,4,False
2025-06-03,2000,WholeWheat_Bread,Bakery,each,138,2.55,351.9,4,False
2025-06-04,2000,WholeWheat_Bread,Bakery,each,162,2.88,466.56,4,False
2025-06-05,2000,WholeWheat_Bread,Bakery,each,120,2.88,345.6,4,False
2025-06-06,2000,WholeWheat_Bread,Bakery,each,130,2.88,374.4,4,False
2025-06-07,2000,WholeWheat_Bread,Bakery,each,141,2.88,406.08,4,False
2025-06-08,2000,WholeWheat_Bread,Bakery,each,173,2.88,498.24,4,False
2025-06-09,2000,WholeWheat_Bread,Bakery,each,135,2.88,388.8,4,False
2025-06-10,2000,WholeWheat_Bread,Bakery,each,105,2.88,302.4,4,False
2025-06-11,2000,WholeWheat_Bread,Bakery,each,141,3.18,448.38,4,False
2025-06-12,2000,WholeWheat_Bread,Bakery,each,167,3.18,531.06,4,False
2025-06-13,2000,WholeWheat_Bread,Bakery,each,83,3.18,263.94,4,False
2025-06-14,2000,WholeWheat_Bread,Bakery,each,97,3.18,308.46,4,False
2025-06-15,2000,WholeWheat_Bread,Bakery,each,124,3.18,394.32,4,False
2025-06-16,2000,WholeWheat_Bread,Bakery,each,92,3.18,292.56,4,False
2025-06-17,2000,WholeWheat_Bread,Bakery,each,170,3.18,540.6,4,False
2025-06-18,2000,WholeWheat_Bread,Bakery,each,57,3.29,187.53,4,False
2025-06-19,2000,WholeWheat_Bread,Bakery,each,184,3.29,605.36,4,False
2025-06-20,2000,WholeWheat_Bread,Bakery,each,117,3.29,384.93,4,False
2025-06-21,2000,WholeWheat_Bread,Bakery,each,140,3.29,460.6,4,False
2025-06-22,2000,WholeWheat_Bread,Bakery,each,186,3.29,611.94,4,False
2025-06-23,2000,WholeWheat_Bread,Bakery,each,123,3.29,404.67,4,False
2025-06-24,2000,WholeWheat_Bread,Bakery,each,134,3.29,440.86,4,False
2025-06-25,2000,WholeWheat_Bread,Bakery,each,175,3.09,540.75,4,False
2025-06-26,2000,WholeWheat_Bread,Bakery,each,74,3.09,228.66,4,False
2025-06-27,2000,WholeWheat_Bread,Bakery,each,202,3.09,624.18,4,False
2025-06-28,2000,WholeWheat_Bread,Bakery,each,245,3.09,757.05,4,False
2025-06-29,2000,WholeWheat_Bread,Bakery,each,188,3.09,580.92,4,False
2025-06-30,2000,WholeWheat_Bread,Bakery,each,82,3.09,253.38,4,False
2025-07-01,2000,WholeWheat_Bread,Bakery,each,116,3.09,358.44,4,False
2025-07-02,2000,WholeWheat_Bread,Bakery,each,130,3.29,427.7,4,False
2025-07-03,2000,WholeWheat_Bread,Bakery,each,150,3.29,493.5,4,False
2025-07-04,2000,WholeWheat_Bread,Bakery,each,96,3.29,315.84,4,False
2025-07-05,2000,WholeWheat_Bread,Bakery,each,129,2.88,371.52,4,True
2025-07-06,2000,WholeWheat_Bread,Bakery,each,190,2.88,547.2,4,False
2025-07-07,2000,WholeWheat_Bread,Bakery,each,207,2.88,596.16,4,False
2025-07-08,2000,WholeWheat_Bread,Bakery,each,154,2.88,443.52,4,False
2025-07-09,2000,WholeWheat_Bread,Bakery,each,138,3.0,414.0,4,False
2025-07-10,2000,WholeWheat_Bread,Bakery,each,152,3.0,456.0,4,False
2025-07-11,2000,WholeWheat_Bread,Bakery,each,182,3.0,546.0,4,False
2025-07-12,2000,WholeWheat_Bread,Bakery,each,128,3.0,384.0,4,False
2025-07-13,2000,WholeWheat_Bread,Bakery,each,210,3.0,630.0,4,False
2025-07-14,2000,WholeWheat_Bread,Bakery,each,166,2.77,459.82,4,True
2025-07-15,2000,WholeWheat_Bread,Bakery,each,76,2.62,199.12,4,True
2025-07-16,2000,WholeWheat_Bread,Bakery,each,163,2.93,477.59,4,True
2025-07-17,2000,WholeWheat_Bread,Bakery,each,147,2.93,430.71,4,False
2025-07-18,2000,WholeWheat_Bread,Bakery,each,199,2.93,583.07,4,False
2025-07-19,2000,WholeWheat_Bread,Bakery,each,150,2.93,439.5,4,False
2025-07-20,2000,WholeWheat_Bread,Bakery,each,123,2.93,360.39,4,False
2025-07-21,2000,WholeWheat_Bread,Bakery,each,106,2.64,279.84,4,True
2025-07-22,2000,WholeWheat_Bread,Bakery,each,174,2.64,459.36,4,False
2025-07-23,2000,WholeWheat_Bread,Bakery,each,104,3.18,330.72,4,False
2025-07-24,2000,WholeWheat_Bread,Bakery,each,90,3.18,286.2,4,False
2025-07-25,2000,WholeWheat_Bread,Bakery,each,136,3.18,432.48,4,False
2025-07-26,2000,WholeWheat_Bread,Bakery,each,208,3.18,661.44,4,False
2025-07-27,2000,WholeWheat_Bread,Bakery,each,228,3.18,725.04,4,False
2025-07-28,2000,WholeWheat_Bread,Bakery,each,135,3.18,429.3,4,False
2025-07-29,2000,WholeWheat_Bread,Bakery,each,86,2.95,253.7,4,True
2025-07-30,2000,WholeWheat_Bread,Bakery,each,151,3.07,463.57,4,False
2025-07-31,2000,WholeWheat_Bread,Bakery,each,212,3.07,650.84,4,False
2025-08-01,2000,WholeWheat_Bread,Bakery,each,153,2.68,410.04,4,True
2025-08-02,2000,WholeWheat_Bread,Bakery,each,112,2.68,300.16,4,False
2025-08-03,2000,WholeWheat_Bread,Bakery,each,188,2.68,503.84,4,False
2025-08-04,2000,WholeWheat_Bread,Bakery,each,176,2.68,471.68,4,False
2025-08-05,2000,WholeWheat_Bread,Bakery,each,138,2.68,369.84,4,False
2025-08-06,2000,WholeWheat_Bread,Bakery,each,179,3.03,542.37,4,False
2025-08-07,2000,WholeWheat_Bread,Bakery,each,206,3.03,624.18,4,False
2025-08-08,2000,WholeWheat_Bread,Bakery,each,170,3.03,515.1,4,False
2025-08-09,2000,WholeWheat_Bread,Bakery,each,118,3.03,357.54,4,False
2025-08-10,2000,WholeWheat_Bread,Bakery,each,164,2.65,434.6,4,True
2025-08-11,2000,WholeWheat_Bread,Bakery,each,110,2.51,276.1,4,True
2025-08-12,2000,WholeWheat_Bread,Bakery,each,221,2.51,554.71,4,False
2025-08-13,2000,WholeWheat_Bread,Bakery,each,155,2.92,452.6,4,True
2025-08-14,2000,WholeWheat_Bread,Bakery,each,166,2.92,484.72,4,False
2025-08-15,2000,WholeWheat_Bread,Bakery,each,123,2.56,314.88,4,True
2025-08-16,2000,WholeWheat_Bread,Bakery,each,199,2.56,509.44,4,False
2025-08-17,2000,WholeWheat_Bread,Bakery,each,129,2.56,330.24,4,False
2025-08-18,2000,WholeWheat_Bread,Bakery,each,124,2.56,317.44,4,False
2025-08-19,2000,WholeWheat_Bread,Bakery,each,195,2.56,499.2,4,False
2025-08-20,2000,WholeWheat_Bread,Bakery,each,206,3.08,634.48,4,False
2025-08-21,2000,WholeWheat_Bread,Bakery,each,124,3.08,381.92,4,False
2025-08-22,2000,WholeWheat_Bread,Bakery,each,63,3.08,194.04,4,False
2025-08-23,2000,WholeWheat_Bread,Bakery,each,147,3.08,452.76,4,False
2025-08-24,2000,WholeWheat_Bread,Bakery,each,239,3.08,736.12,4,False
2025-08-25,2000,WholeWheat_Bread,Bakery,each,86,3.08,264.88,4,False
2025-08-26,2000,WholeWheat_Bread,Bakery,each,138,2.71,373.98,4,True
2025-08-27,2000,WholeWheat_Bread,Bakery,each,142,3.14,445.88,4,False
2025-08-28,2000,WholeWheat_Bread,Bakery,each,155,3.14,486.7,4,False
2025-08-29,2000,WholeWheat_Bread,Bakery,each,136,2.94,399.84,4,True
2025-08-30,2000,WholeWheat_Bread,Bakery,each,72,2.94,211.68,4,False
2025-08-31,2000,WholeWheat_Bread,Bakery,each,118,2.94,346.92,4,False
2025-09-01,2000,WholeWheat_Bread,Bakery,each,223,2.94,655.62,4,False
2025-09-02,2000,WholeWheat_Bread,Bakery,each,192,2.94,564.48,4,False
2025-09-03,2000,WholeWheat_Bread,Bakery,each,177,3.28,580.56,4,False
2025-09-04,2000,WholeWheat_Bread,Bakery,each,170,3.28,557.6,4,False
2025-09-05,2000,WholeWheat_Bread,Bakery,each,133,3.28,436.24,4,False
2025-09-06,2000,WholeWheat_Bread,Bakery,each,141,3.28,462.48,4,False
2025-09-07,2000,WholeWheat_Bread,Bakery,each,114,3.28,373.92,4,False
2025-09-08,2000,WholeWheat_Bread,Bakery,each,141,3.28,462.48,4,False
2025-09-09,2000,WholeWheat_Bread,Bakery,each,82,3.28,268.96,4,False
2025-09-10,2000,WholeWheat_Bread,Bakery,each,116,3.16,366.56,4,False
